send	data	#1,	winSize = 1
resnd	data	#24,	winSize = 4
recv	ack	#23,	sack	#27
send	data	#30,	winSize = 4
recv	ack	#23,	sack	#28
send	data	#31,	winSize = 4
recv	ack	#23,	sack	#29
send	data	#32,	winSize = 4
recv	ack	#23,	sack	#30
send	data	#33,	winSize = 4
recv	ack	#23,	sack	#31
send	data	#34,	winSize = 4
recv	ack	#23,	sack	#32
send	data	#35,	winSize = 4
recv	ack	#23,	sack	#33
send	data	#36,	winSize = 4
recv	ack	#23,	sack	#35
send	data	#37,	winSize = 4
recv	ack	#23,	sack	#23
time	out,	threshold = 2,	winSize = 4
resnd	data	#24,	winSize = 1
time	out,	threshold = 2,	winSize = 1
resnd	data	#24,	winSize = 1
recv	ack	#33,	sack	#24
resnd	data	#34,	winSize = 2
resnd	data	#36,	winSize = 2
recv	ack	#35,	sack	#34
resnd	data	#37,	winSize = 2
recv	ack	#36,	sack	#36
send	data	#38,	winSize = 3
send	data	#39,	winSize = 3
recv	ack	#36,	sack	#36
recv	ack	#36,	sack	#38
send	data	#40,	winSize = 3
recv	ack	#36,	sack	#39
send	data	#41,	winSize = 3
resnd	data	#37,	winSize = 3
recv	ack	#36,	sack	#40
send	data	#42,	winSize = 3
recv	ack	#40,	sack	#37
send	data	#43,	winSize = 3
recv	ack	#40,	sack	#42
send	data	#44,	winSize = 3
recv	ack	#40,	sack	#43
send	data	#45,	winSize = 3
recv	ack	#40,	sack	#45
send	data	#46,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#41,	winSize = 1
recv	ack	#43,	sack	#41
resnd	data	#44,	winSize = 2
resnd	data	#46,	winSize = 2
recv	ack	#43,	sack	#43
time	out,	threshold = 1,	winSize = 2
resnd	data	#44,	winSize = 1
recv	ack	#45,	sack	#44
resnd	data	#46,	winSize = 2
send	data	#47,	winSize = 2
recv	ack	#45,	sack	#47
send	data	#48,	winSize = 2
recv	ack	#45,	sack	#48
send	data	#49,	winSize = 2
recv	ack	#45,	sack	#49
send	data	#50,	winSize = 2
resnd	data	#46,	winSize = 2
recv	ack	#45,	sack	#50
send	data	#51,	winSize = 2
recv	ack	#45,	sack	#45
time	out,	threshold = 1,	winSize = 2
resnd	data	#46,	winSize = 1
recv	ack	#50,	sack	#46
resnd	data	#51,	winSize = 2
send	data	#52,	winSize = 2
recv	ack	#50,	sack	#52
send	data	#53,	winSize = 2
recv	ack	#50,	sack	#53
send	data	#54,	winSize = 2
recv	ack	#50,	sack	#54
send	data	#55,	winSize = 2
resnd	data	#51,	winSize = 2
recv	ack	#50,	sack	#55
send	data	#56,	winSize = 2
recv	ack	#55,	sack	#51
send	data	#57,	winSize = 2
recv	ack	#56,	sack	#56
send	data	#58,	winSize = 3
send	data	#59,	winSize = 3
recv	ack	#57,	sack	#57
send	data	#60,	winSize = 3
recv	ack	#57,	sack	#57
time	out,	threshold = 1,	winSize = 3
resnd	data	#58,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#58,	winSize = 1
recv	ack	#58,	sack	#58
resnd	data	#59,	winSize = 2
resnd	data	#60,	winSize = 2
recv	ack	#59,	sack	#59
send	data	#61,	winSize = 2
recv	ack	#60,	sack	#60
send	data	#62,	winSize = 3
send	data	#63,	winSize = 3
recv	ack	#61,	sack	#61
send	data	#64,	winSize = 3
recv	ack	#62,	sack	#62
send	data	#65,	winSize = 3
recv	ack	#63,	sack	#63
send	data	#66,	winSize = 4
send	data	#67,	winSize = 4
recv	ack	#64,	sack	#64
send	data	#68,	winSize = 4
recv	ack	#65,	sack	#65
send	data	#69,	winSize = 4
recv	ack	#65,	sack	#67
send	data	#70,	winSize = 4
recv	ack	#65,	sack	#68
send	data	#71,	winSize = 4
recv	ack	#65,	sack	#71
send	data	#72,	winSize = 4
resnd	data	#66,	winSize = 4
recv	ack	#65,	sack	#72
send	data	#73,	winSize = 4
recv	ack	#68,	sack	#66
send	data	#74,	winSize = 4
recv	ack	#68,	sack	#73
send	data	#75,	winSize = 4
recv	ack	#68,	sack	#68
time	out,	threshold = 1,	winSize = 4
resnd	data	#69,	winSize = 1
recv	ack	#69,	sack	#69
resnd	data	#70,	winSize = 2
resnd	data	#74,	winSize = 2
recv	ack	#73,	sack	#70
resnd	data	#75,	winSize = 2
recv	ack	#74,	sack	#74
send	data	#76,	winSize = 3
send	data	#77,	winSize = 3
recv	ack	#74,	sack	#76
send	data	#78,	winSize = 3
recv	ack	#74,	sack	#78
send	data	#79,	winSize = 3
recv	ack	#74,	sack	#79
send	data	#80,	winSize = 3
resnd	data	#75,	winSize = 3
recv	ack	#74,	sack	#80
send	data	#81,	winSize = 3
recv	ack	#76,	sack	#75
send	data	#82,	winSize = 3
recv	ack	#76,	sack	#81
send	data	#83,	winSize = 3
recv	ack	#76,	sack	#82
send	data	#84,	winSize = 3
recv	ack	#76,	sack	#83
send	data	#85,	winSize = 3
recv	ack	#76,	sack	#76
recv	ack	#76,	sack	#76
time	out,	threshold = 2,	winSize = 3
resnd	data	#77,	winSize = 1
recv	ack	#76,	sack	#76
time	out,	threshold = 1,	winSize = 1
resnd	data	#77,	winSize = 1
recv	ack	#83,	sack	#77
resnd	data	#84,	winSize = 2
resnd	data	#85,	winSize = 2
recv	ack	#84,	sack	#84
send	data	#86,	winSize = 2
recv	ack	#85,	sack	#85
send	data	#87,	winSize = 3
send	data	#88,	winSize = 3
recv	ack	#86,	sack	#86
send	data	#89,	winSize = 3
recv	ack	#87,	sack	#87
send	data	#90,	winSize = 3
recv	ack	#87,	sack	#87
recv	ack	#87,	sack	#89
send	data	#91,	winSize = 3
recv	ack	#87,	sack	#90
send	data	#92,	winSize = 3
resnd	data	#88,	winSize = 3
recv	ack	#87,	sack	#91
send	data	#93,	winSize = 3
recv	ack	#91,	sack	#88
send	data	#94,	winSize = 4
send	data	#95,	winSize = 4
recv	ack	#91,	sack	#93
send	data	#96,	winSize = 4
recv	ack	#91,	sack	#91
recv	ack	#91,	sack	#96
send	data	#97,	winSize = 4
recv	ack	#91,	sack	#97
send	data	#98,	winSize = 4
time	out,	threshold = 1,	winSize = 4
resnd	data	#92,	winSize = 1
recv	ack	#91,	sack	#91
time	out,	threshold = 2,	winSize = 1
resnd	data	#92,	winSize = 1
recv	ack	#93,	sack	#92
resnd	data	#94,	winSize = 2
resnd	data	#95,	winSize = 2
recv	ack	#93,	sack	#95
resnd	data	#98,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#94,	winSize = 1
recv	ack	#93,	sack	#93
time	out,	threshold = 1,	winSize = 1
resnd	data	#94,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#94,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#94,	winSize = 1
recv	ack	#97,	sack	#94
resnd	data	#98,	winSize = 2
send	data	#99,	winSize = 2
recv	ack	#97,	sack	#97
recv	ack	#97,	sack	#97
time	out,	threshold = 1,	winSize = 2
resnd	data	#98,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#98,	winSize = 1
recv	ack	#98,	sack	#98
resnd	data	#99,	winSize = 2
send	data	#100,	winSize = 2
recv	ack	#99,	sack	#99
send	data	#101,	winSize = 2
recv	ack	#100,	sack	#100
send	data	#102,	winSize = 3
send	data	#103,	winSize = 3
recv	ack	#101,	sack	#101
send	data	#104,	winSize = 3
recv	ack	#101,	sack	#103
send	data	#105,	winSize = 3
recv	ack	#101,	sack	#104
send	data	#106,	winSize = 3
recv	ack	#101,	sack	#105
send	data	#107,	winSize = 3
resnd	data	#102,	winSize = 3
recv	ack	#101,	sack	#106
send	data	#108,	winSize = 3
recv	ack	#101,	sack	#107
send	data	#109,	winSize = 3
recv	ack	#101,	sack	#108
send	data	#110,	winSize = 3
recv	ack	#101,	sack	#109
send	data	#111,	winSize = 3
recv	ack	#101,	sack	#110
send	data	#112,	winSize = 3
recv	ack	#101,	sack	#111
send	data	#113,	winSize = 3
recv	ack	#101,	sack	#112
send	data	#114,	winSize = 3
recv	ack	#101,	sack	#113
send	data	#115,	winSize = 3
recv	ack	#101,	sack	#114
send	data	#116,	winSize = 3
recv	ack	#101,	sack	#101
recv	ack	#101,	sack	#116
send	data	#117,	winSize = 3
recv	ack	#101,	sack	#117
send	data	#118,	winSize = 3
recv	ack	#101,	sack	#118
send	data	#119,	winSize = 3
recv	ack	#101,	sack	#119
send	data	#120,	winSize = 3
recv	ack	#101,	sack	#120
send	data	#121,	winSize = 3
recv	ack	#101,	sack	#121
send	data	#122,	winSize = 3
recv	ack	#101,	sack	#101
time	out,	threshold = 1,	winSize = 3
resnd	data	#102,	winSize = 1
recv	ack	#114,	sack	#102
resnd	data	#115,	winSize = 2
resnd	data	#122,	winSize = 2
recv	ack	#121,	sack	#115
send	data	#123,	winSize = 2
recv	ack	#122,	sack	#122
send	data	#124,	winSize = 3
send	data	#125,	winSize = 3
recv	ack	#122,	sack	#124
send	data	#126,	winSize = 3
recv	ack	#122,	sack	#125
send	data	#127,	winSize = 3
recv	ack	#122,	sack	#126
send	data	#128,	winSize = 3
resnd	data	#123,	winSize = 3
recv	ack	#122,	sack	#127
send	data	#129,	winSize = 3
recv	ack	#122,	sack	#128
send	data	#130,	winSize = 3
recv	ack	#122,	sack	#122
recv	ack	#122,	sack	#130
send	data	#131,	winSize = 3
recv	ack	#122,	sack	#131
send	data	#132,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#123,	winSize = 1
recv	ack	#122,	sack	#122
time	out,	threshold = 1,	winSize = 1
resnd	data	#123,	winSize = 1
recv	ack	#128,	sack	#123
resnd	data	#129,	winSize = 2
resnd	data	#132,	winSize = 2
recv	ack	#131,	sack	#129
send	data	#133,	winSize = 2
recv	ack	#131,	sack	#133
send	data	#134,	winSize = 2
recv	ack	#131,	sack	#134
send	data	#135,	winSize = 2
recv	ack	#131,	sack	#135
send	data	#136,	winSize = 2
resnd	data	#132,	winSize = 2
recv	ack	#131,	sack	#131
recv	ack	#135,	sack	#132
send	data	#137,	winSize = 3
send	data	#138,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#136,	winSize = 1
recv	ack	#136,	sack	#136
resnd	data	#137,	winSize = 2
resnd	data	#138,	winSize = 2
recv	ack	#137,	sack	#137
send	data	#139,	winSize = 2
recv	ack	#138,	sack	#138
send	data	#140,	winSize = 3
send	data	#141,	winSize = 3
recv	ack	#139,	sack	#139
send	data	#142,	winSize = 3
recv	ack	#139,	sack	#141
send	data	#143,	winSize = 3
recv	ack	#139,	sack	#142
send	data	#144,	winSize = 3
recv	ack	#139,	sack	#143
send	data	#145,	winSize = 3
resnd	data	#140,	winSize = 3
recv	ack	#139,	sack	#144
send	data	#146,	winSize = 3
recv	ack	#139,	sack	#145
send	data	#147,	winSize = 3
recv	ack	#139,	sack	#139
recv	ack	#139,	sack	#146
send	data	#148,	winSize = 3
recv	ack	#139,	sack	#147
send	data	#149,	winSize = 3
recv	ack	#139,	sack	#148
send	data	#150,	winSize = 3
recv	ack	#139,	sack	#149
send	data	#151,	winSize = 3
recv	ack	#139,	sack	#151
send	data	#152,	winSize = 3
recv	ack	#139,	sack	#139
time	out,	threshold = 1,	winSize = 3
resnd	data	#140,	winSize = 1
recv	ack	#149,	sack	#140
resnd	data	#150,	winSize = 2
resnd	data	#152,	winSize = 2
recv	ack	#151,	sack	#150
send	data	#153,	winSize = 2
recv	ack	#151,	sack	#153
send	data	#154,	winSize = 2
recv	ack	#151,	sack	#154
send	data	#155,	winSize = 2
recv	ack	#151,	sack	#155
send	data	#156,	winSize = 2
resnd	data	#152,	winSize = 2
recv	ack	#151,	sack	#151
recv	ack	#155,	sack	#152
send	data	#157,	winSize = 3
send	data	#158,	winSize = 3
recv	ack	#155,	sack	#157
send	data	#159,	winSize = 3
recv	ack	#155,	sack	#158
send	data	#160,	winSize = 3
recv	ack	#155,	sack	#159
send	data	#161,	winSize = 3
recv	ack	#155,	sack	#160
send	data	#162,	winSize = 3
recv	ack	#155,	sack	#161
send	data	#163,	winSize = 3
recv	ack	#155,	sack	#162
send	data	#164,	winSize = 3
recv	ack	#155,	sack	#163
send	data	#165,	winSize = 3
recv	ack	#155,	sack	#164
send	data	#166,	winSize = 3
recv	ack	#155,	sack	#165
send	data	#167,	winSize = 3
recv	ack	#155,	sack	#166
send	data	#168,	winSize = 3
recv	ack	#155,	sack	#167
send	data	#169,	winSize = 3
recv	ack	#155,	sack	#168
send	data	#170,	winSize = 3
recv	ack	#155,	sack	#155
recv	ack	#155,	sack	#155
time	out,	threshold = 1,	winSize = 3
resnd	data	#156,	winSize = 1
recv	ack	#168,	sack	#156
resnd	data	#169,	winSize = 2
resnd	data	#170,	winSize = 2
recv	ack	#169,	sack	#169
send	data	#171,	winSize = 2
recv	ack	#170,	sack	#170
send	data	#172,	winSize = 3
send	data	#173,	winSize = 3
recv	ack	#170,	sack	#172
send	data	#174,	winSize = 3
recv	ack	#170,	sack	#173
send	data	#175,	winSize = 3
recv	ack	#170,	sack	#174
send	data	#176,	winSize = 3
resnd	data	#171,	winSize = 3
recv	ack	#170,	sack	#175
send	data	#177,	winSize = 3
recv	ack	#170,	sack	#176
send	data	#178,	winSize = 3
recv	ack	#176,	sack	#171
send	data	#179,	winSize = 3
recv	ack	#177,	sack	#177
send	data	#180,	winSize = 3
recv	ack	#178,	sack	#178
send	data	#181,	winSize = 4
send	data	#182,	winSize = 4
recv	ack	#179,	sack	#179
send	data	#183,	winSize = 4
recv	ack	#179,	sack	#181
send	data	#184,	winSize = 4
recv	ack	#179,	sack	#182
send	data	#185,	winSize = 4
recv	ack	#179,	sack	#183
send	data	#186,	winSize = 4
recv	ack	#179,	sack	#185
send	data	#187,	winSize = 4
recv	ack	#179,	sack	#186
send	data	#188,	winSize = 4
recv	ack	#179,	sack	#187
send	data	#189,	winSize = 4
recv	ack	#179,	sack	#188
send	data	#190,	winSize = 4
recv	ack	#179,	sack	#179
recv	ack	#179,	sack	#190
send	data	#191,	winSize = 4
time	out,	threshold = 1,	winSize = 4
resnd	data	#180,	winSize = 1
recv	ack	#183,	sack	#180
resnd	data	#184,	winSize = 2
resnd	data	#189,	winSize = 2
recv	ack	#188,	sack	#184
resnd	data	#191,	winSize = 2
recv	ack	#188,	sack	#188
recv	ack	#188,	sack	#191
send	data	#192,	winSize = 2
recv	ack	#188,	sack	#188
resnd	data	#189,	winSize = 2
recv	ack	#191,	sack	#189
send	data	#193,	winSize = 3
send	data	#194,	winSize = 3
recv	ack	#191,	sack	#193
send	data	#195,	winSize = 3
recv	ack	#191,	sack	#194
send	data	#196,	winSize = 3
recv	ack	#191,	sack	#196
send	data	#197,	winSize = 3
recv	ack	#191,	sack	#197
send	data	#198,	winSize = 3
recv	ack	#191,	sack	#198
send	data	#199,	winSize = 3
recv	ack	#191,	sack	#199
send	data	#200,	winSize = 3
recv	ack	#191,	sack	#191
time	out,	threshold = 2,	winSize = 3
resnd	data	#192,	winSize = 1
recv	ack	#194,	sack	#192
resnd	data	#195,	winSize = 2
resnd	data	#200,	winSize = 2
recv	ack	#199,	sack	#195
send	data	#201,	winSize = 2
recv	ack	#200,	sack	#200
send	data	#202,	winSize = 3
send	data	#203,	winSize = 3
recv	ack	#201,	sack	#201
send	data	#204,	winSize = 3
recv	ack	#202,	sack	#202
send	data	#205,	winSize = 3
recv	ack	#202,	sack	#205
send	data	#206,	winSize = 3
recv	ack	#202,	sack	#206
send	data	#207,	winSize = 3
recv	ack	#202,	sack	#202
resnd	data	#203,	winSize = 3
recv	ack	#202,	sack	#202
time	out,	threshold = 1,	winSize = 3
resnd	data	#203,	winSize = 1
recv	ack	#203,	sack	#203
resnd	data	#204,	winSize = 2
resnd	data	#207,	winSize = 2
recv	ack	#206,	sack	#204
send	data	#208,	winSize = 2
recv	ack	#206,	sack	#208
send	data	#209,	winSize = 2
recv	ack	#206,	sack	#209
send	data	#210,	winSize = 2
recv	ack	#206,	sack	#210
send	data	#211,	winSize = 2
resnd	data	#207,	winSize = 2
recv	ack	#206,	sack	#211
send	data	#212,	winSize = 2
recv	ack	#211,	sack	#207
send	data	#213,	winSize = 3
send	data	#214,	winSize = 3
recv	ack	#212,	sack	#212
send	data	#215,	winSize = 3
recv	ack	#212,	sack	#214
send	data	#216,	winSize = 3
recv	ack	#212,	sack	#215
send	data	#217,	winSize = 3
recv	ack	#212,	sack	#216
send	data	#218,	winSize = 3
recv	ack	#212,	sack	#217
send	data	#219,	winSize = 3
recv	ack	#212,	sack	#218
send	data	#220,	winSize = 3
recv	ack	#212,	sack	#219
send	data	#221,	winSize = 3
recv	ack	#212,	sack	#212
recv	ack	#212,	sack	#212
time	out,	threshold = 1,	winSize = 3
resnd	data	#213,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#213,	winSize = 1
recv	ack	#219,	sack	#213
resnd	data	#220,	winSize = 2
resnd	data	#221,	winSize = 2
recv	ack	#220,	sack	#220
send	data	#222,	winSize = 2
recv	ack	#221,	sack	#221
send	data	#223,	winSize = 3
send	data	#224,	winSize = 3
recv	ack	#222,	sack	#222
send	data	#225,	winSize = 3
recv	ack	#223,	sack	#223
send	data	#226,	winSize = 3
recv	ack	#223,	sack	#223
recv	ack	#223,	sack	#225
send	data	#227,	winSize = 3
recv	ack	#223,	sack	#226
send	data	#228,	winSize = 3
resnd	data	#224,	winSize = 3
recv	ack	#223,	sack	#227
send	data	#229,	winSize = 3
recv	ack	#223,	sack	#223
recv	ack	#223,	sack	#229
send	data	#230,	winSize = 3
recv	ack	#223,	sack	#230
send	data	#231,	winSize = 3
recv	ack	#223,	sack	#231
send	data	#232,	winSize = 3
recv	ack	#223,	sack	#232
send	data	#233,	winSize = 3
recv	ack	#223,	sack	#233
send	data	#234,	winSize = 3
recv	ack	#223,	sack	#234
send	data	#235,	winSize = 3
recv	ack	#223,	sack	#235
send	data	#236,	winSize = 3
recv	ack	#223,	sack	#236
send	data	#237,	winSize = 3
recv	ack	#223,	sack	#237
send	data	#238,	winSize = 3
recv	ack	#223,	sack	#238
send	data	#239,	winSize = 3
recv	ack	#223,	sack	#239
send	data	#240,	winSize = 3
recv	ack	#223,	sack	#240
send	data	#241,	winSize = 3
recv	ack	#223,	sack	#241
send	data	#242,	winSize = 3
time	out,	threshold = 1,	winSize = 3
resnd	data	#224,	winSize = 1
recv	ack	#223,	sack	#223
time	out,	threshold = 1,	winSize = 1
resnd	data	#224,	winSize = 1
recv	ack	#227,	sack	#224
resnd	data	#228,	winSize = 2
resnd	data	#242,	winSize = 2
recv	ack	#227,	sack	#242
send	data	#243,	winSize = 2
recv	ack	#227,	sack	#243
send	data	#244,	winSize = 2
recv	ack	#227,	sack	#244
send	data	#245,	winSize = 2
resnd	data	#228,	winSize = 2
recv	ack	#227,	sack	#245
send	data	#246,	winSize = 2
recv	ack	#245,	sack	#228
send	data	#247,	winSize = 2
recv	ack	#245,	sack	#245
recv	ack	#245,	sack	#245
time	out,	threshold = 1,	winSize = 2
resnd	data	#246,	winSize = 1
recv	ack	#246,	sack	#246
resnd	data	#247,	winSize = 2
send	data	#248,	winSize = 2
recv	ack	#247,	sack	#247
send	data	#249,	winSize = 2
recv	ack	#248,	sack	#248
send	data	#250,	winSize = 3
send	data	#251,	winSize = 3
recv	ack	#249,	sack	#249
send	data	#252,	winSize = 3
recv	ack	#249,	sack	#251
send	data	#253,	winSize = 3
recv	ack	#249,	sack	#252
send	data	#254,	winSize = 3
recv	ack	#249,	sack	#253
send	data	#255,	winSize = 3
resnd	data	#250,	winSize = 3
recv	ack	#249,	sack	#254
send	data	#256,	winSize = 3
recv	ack	#254,	sack	#250
send	data	#257,	winSize = 3
recv	ack	#254,	sack	#256
send	data	#258,	winSize = 3
recv	ack	#254,	sack	#254
recv	ack	#254,	sack	#254
time	out,	threshold = 1,	winSize = 3
resnd	data	#255,	winSize = 1
recv	ack	#256,	sack	#255
resnd	data	#257,	winSize = 2
resnd	data	#258,	winSize = 2
recv	ack	#256,	sack	#258
send	data	#259,	winSize = 2
recv	ack	#256,	sack	#256
time	out,	threshold = 1,	winSize = 2
resnd	data	#257,	winSize = 1
recv	ack	#258,	sack	#257
resnd	data	#259,	winSize = 2
send	data	#260,	winSize = 2
recv	ack	#259,	sack	#259
send	data	#261,	winSize = 2
recv	ack	#260,	sack	#260
send	data	#262,	winSize = 3
send	data	#263,	winSize = 3
recv	ack	#261,	sack	#261
send	data	#264,	winSize = 3
recv	ack	#261,	sack	#263
send	data	#265,	winSize = 3
recv	ack	#261,	sack	#261
recv	ack	#261,	sack	#265
send	data	#266,	winSize = 3
resnd	data	#262,	winSize = 3
recv	ack	#261,	sack	#266
send	data	#267,	winSize = 3
recv	ack	#261,	sack	#261
recv	ack	#261,	sack	#261
time	out,	threshold = 1,	winSize = 3
resnd	data	#262,	winSize = 1
recv	ack	#263,	sack	#262
resnd	data	#264,	winSize = 2
resnd	data	#267,	winSize = 2
recv	ack	#266,	sack	#264
send	data	#268,	winSize = 2
recv	ack	#266,	sack	#266
recv	ack	#266,	sack	#268
send	data	#269,	winSize = 2
recv	ack	#266,	sack	#266
resnd	data	#267,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#267,	winSize = 1
time	out,	threshold = 1,	winSize = 1
resnd	data	#267,	winSize = 1
recv	ack	#268,	sack	#267
resnd	data	#269,	winSize = 2
send	data	#270,	winSize = 2
recv	ack	#269,	sack	#269
send	data	#271,	winSize = 2
recv	ack	#270,	sack	#270
send	data	#272,	winSize = 3
send	data	#273,	winSize = 3
recv	ack	#271,	sack	#271
send	data	#274,	winSize = 3
recv	ack	#272,	sack	#272
send	data	#275,	winSize = 3
recv	ack	#273,	sack	#273
send	data	#276,	winSize = 4
send	data	#277,	winSize = 4
recv	ack	#274,	sack	#274
send	data	#278,	winSize = 4
recv	ack	#274,	sack	#276
send	data	#279,	winSize = 4
recv	ack	#274,	sack	#278
send	data	#280,	winSize = 4
recv	ack	#274,	sack	#280
send	data	#281,	winSize = 4
resnd	data	#275,	winSize = 4
recv	ack	#274,	sack	#281
send	data	#282,	winSize = 4
recv	ack	#276,	sack	#275
send	data	#283,	winSize = 4
recv	ack	#276,	sack	#282
send	data	#284,	winSize = 4
recv	ack	#276,	sack	#283
send	data	#285,	winSize = 4
recv	ack	#276,	sack	#276
recv	ack	#276,	sack	#285
send	data	#286,	winSize = 4
recv	ack	#276,	sack	#286
send	data	#287,	winSize = 4
recv	ack	#276,	sack	#287
send	data	#288,	winSize = 4
recv	ack	#276,	sack	#288
send	data	#289,	winSize = 4
recv	ack	#276,	sack	#276
time	out,	threshold = 1,	winSize = 4
resnd	data	#277,	winSize = 1
recv	ack	#278,	sack	#277
resnd	data	#279,	winSize = 2
resnd	data	#284,	winSize = 2
recv	ack	#278,	sack	#278
recv	ack	#278,	sack	#284
resnd	data	#289,	winSize = 2
recv	ack	#278,	sack	#289
send	data	#290,	winSize = 2
resnd	data	#279,	winSize = 2
recv	ack	#278,	sack	#278
recv	ack	#289,	sack	#279
send	data	#291,	winSize = 2
recv	ack	#289,	sack	#291
send	data	#292,	winSize = 2
recv	ack	#289,	sack	#292
send	data	#293,	winSize = 2
recv	ack	#289,	sack	#293
send	data	#294,	winSize = 2
recv	ack	#289,	sack	#294
send	data	#295,	winSize = 2
time	out,	threshold = 2,	winSize = 2
resnd	data	#290,	winSize = 1
recv	ack	#294,	sack	#290
resnd	data	#295,	winSize = 2
send	data	#296,	winSize = 2
recv	ack	#294,	sack	#294
time	out,	threshold = 1,	winSize = 2
resnd	data	#295,	winSize = 1
recv	ack	#295,	sack	#295
resnd	data	#296,	winSize = 2
send	data	#297,	winSize = 2
recv	ack	#296,	sack	#296
send	data	#298,	winSize = 2
recv	ack	#297,	sack	#297
send	data	#299,	winSize = 3
send	data	#300,	winSize = 3
recv	ack	#298,	sack	#298
send	data	#301,	winSize = 3
recv	ack	#299,	sack	#299
send	data	#302,	winSize = 3
recv	ack	#300,	sack	#300
send	data	#303,	winSize = 4
send	data	#304,	winSize = 4
recv	ack	#300,	sack	#300
recv	ack	#300,	sack	#302
send	data	#305,	winSize = 4
recv	ack	#300,	sack	#303
send	data	#306,	winSize = 4
resnd	data	#301,	winSize = 4
recv	ack	#300,	sack	#304
send	data	#307,	winSize = 4
recv	ack	#300,	sack	#300
recv	ack	#300,	sack	#306
send	data	#308,	winSize = 4
recv	ack	#304,	sack	#301
send	data	#309,	winSize = 4
recv	ack	#304,	sack	#304
recv	ack	#304,	sack	#308
send	data	#310,	winSize = 4
recv	ack	#304,	sack	#309
send	data	#311,	winSize = 4
recv	ack	#304,	sack	#310
send	data	#312,	winSize = 4
recv	ack	#304,	sack	#312
send	data	#313,	winSize = 4
recv	ack	#304,	sack	#313
send	data	#314,	winSize = 4
time	out,	threshold = 1,	winSize = 4
resnd	data	#305,	winSize = 1
recv	ack	#306,	sack	#305
resnd	data	#307,	winSize = 2
resnd	data	#311,	winSize = 2
recv	ack	#306,	sack	#311
resnd	data	#314,	winSize = 2
recv	ack	#306,	sack	#306
time	out,	threshold = 2,	winSize = 2
resnd	data	#307,	winSize = 1
recv	ack	#313,	sack	#307
resnd	data	#314,	winSize = 2
send	data	#315,	winSize = 2
recv	ack	#313,	sack	#313
recv	ack	#313,	sack	#315
send	data	#316,	winSize = 2
time	out,	threshold = 1,	winSize = 2
resnd	data	#314,	winSize = 1
recv	ack	#315,	sack	#314
resnd	data	#316,	winSize = 2
send	data	#317,	winSize = 2
recv	ack	#315,	sack	#317
